titles,days left to bid,url,description,skills,budget,verified_traits_list,competition_sum,competition_list
(Easy) Change a logo and clear product codes on 84 pages of a pdf document,6 days left,https://www.freelancer.com/projects/graphic-design/easy-change-logo-clear-product/,"I have a PDF document with another logo and old product codes. 84 pages. I need someone to change the logos and clear the product codes. I only have the file in PDF so you may need to convert it. You can easily put a white line over product codes and logo I will give you as a separate file. 
Fast and easy way to get yourself a 5 star rating on your account.
You can find 1 page of the document attached and what, where needs to be changed.
No prior knowledge or experience necessary.","Graphic Design, Photoshop, Word, PDF, Logo Design", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",14 freelancers are bidding on average $18 for this job,"[{'url': '/u/exxarts', 'rating': '4.8'}, {'url': '/u/ArtBee', 'rating': '5.0'}, {'url': '/u/alrightsolutions', 'rating': '5.0'}, {'url': '/u/Zoyav1', 'rating': '5.0'}, {'url': '/u/imranjafer789', 'rating': '4.8'}, {'url': '/u/saadshaiykh', 'rating': '5.0'}, {'url': '/u/fardeenkamal78', 'rating': '4.8'}, {'url': '/u/Muhammad1226', 'rating': '5.0'}, {'url': '/u/shariqhamid638', 'rating': '4.9'}, {'url': '/u/dotcircle64', 'rating': '5.0'}, {'url': '/u/shaalitechno', 'rating': '5.0'}, {'url': '/u/sambuddy01', 'rating': '5.0'}, {'url': '/u/tanvirmrt', 'rating': '0.0'}]"
I need a logo for my YouTube channel,6 days left,https://www.freelancer.com/projects/logo-design/sushanta-kumar/,"I want to create a logo for my own youtube channel, ‍I make videos of Nish: latest technical, education, T-shirt design, photo-editing.

There will be a logo Name:
Tech BD Design
WE DO IT","Logo Design, Graphic Design, Illustrator, Photoshop Design", $10-15 USD,"['E-mail Verified', 'Payment Verified']",8 freelancers are bidding on average $13 for this job,"[{'url': '/u/Zoyav1', 'rating': '5.0'}, {'url': '/u/alrightsolutions', 'rating': '4.9'}, {'url': '/u/Kreaytivelions', 'rating': '4.9'}, {'url': '/u/alinafig016', 'rating': '4.9'}, {'url': '/u/fardeenkamal78', 'rating': '4.8'}, {'url': '/u/CreativeVision04', 'rating': '5.0'}, {'url': '/u/rohkumar444', 'rating': '4.8'}]"
Front board design,6 days left,https://www.freelancer.com/projects/graphic-design/front-board-design/,We need to get the front board designed for our showrooms of electric vehicles,"Graphic Design, Logo Design, Brochure Design, Photoshop, Illustrator", ₹1500-12500 INR,['E-mail Verified'],6 freelancers are bidding on average ₹2327 for this job,"[{'url': '/u/vipjcreative', 'rating': '4.9'}, {'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/PinkiVJ', 'rating': '4.9'}, {'url': '/u/WinzCreation', 'rating': '4.8'}, {'url': '/u/iinvtech', 'rating': '5.0'}]"
Do motion graphics to my comic / manga,6 days left,https://www.freelancer.com/projects/illustration/motion-graphics-comic-manga/,"Hello,

I have already made some pages, Now I want someone who can do motion graphics and make my panels alive.
You'll get layered PSDS.
BID for 1 page - 5panel

Some examples are attached, and how I wanted this.","Illustration, Photoshop, Animation, Motion Graphics, Blender", $15-25 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average $25 for this job,[]
"Need a mobile Application that can automate my Calls , SMS & WhatsApp",6 days left,https://www.freelancer.com/projects/android/need-mobile-application-that-can/,"I am looking for a mobile application that will do 
1. Send template based SMS to caller ( Via API or Local )
2. Send template-based WhatsApp to the caller ( Via API or Local )
3. Send contact details to the server to save the data  ( Via API )

Login , Setting by default it should be available 
More features will be added later on","Android, PHP, Software Architecture, Java", ₹600-1500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹1050 for this job,[]
2D character design for game,6 days left,https://www.freelancer.com/projects/illustration/character-design-for-game/,Looking for artist to design 2D character for my game.,"Illustration, Illustrator, Game Design, Animation, 2D Animation", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average $140 for this job,[]
TO MAKE ADVETISMENT  POST OF MY PRODUCTS ATTR BOTTLES FOR ISTAGRAM,6 days left,https://www.freelancer.com/projects/photoshop/make-advetisment-post-products-attr/,"We want someone who can beauitifully create product posts of our attrs bottles for instagram....we need total 11 bottles posts nd 2 or 3 group post of them.
(means kept together)","Photoshop, Photoshop Design, Adobe InDesign, Corel Draw, Product Descriptions", ₹600-700 INR,['E-mail Verified'],Similar jobs,[]
ahrefs account needed,6 days left,https://www.freelancer.com/projects/seo-auditing/ahrefs-account-needed/,ahrefs account needed for login,SEO Auditing, $10-30 AUD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[]
Build html from PSD,6 days left,https://www.freelancer.com/projects/psd-to-html/build-html-from-psd/,"I have one PSD file i want to convert to responsive HTML site with all the CSS in it.

Please be an expert in converting PSB to html. This is only one page","PSD to HTML, HTML, CSS, Website Design, HTML5", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",31 freelancers are bidding on average $24 for this job,"[{'url': '/u/sandipdesigner', 'rating': '5.0'}, {'url': '/u/ahmedaaalnaasan', 'rating': '4.6'}, {'url': '/u/MIqbalSS', 'rating': '5.0'}, {'url': '/u/ranamzubair', 'rating': '5.0'}, {'url': '/u/alohomorasol', 'rating': '5.0'}, {'url': '/u/Ahraazkhan', 'rating': '4.9'}, {'url': '/u/wadielnatrontv', 'rating': '4.9'}, {'url': '/u/stevepol', 'rating': '4.9'}, {'url': '/u/prottoyLancer', 'rating': '5.0'}, {'url': '/u/antonyhryts', 'rating': '5.0'}, {'url': '/u/AB55555', 'rating': '5.0'}, {'url': '/u/ishfaqrahim', 'rating': '5.0'}, {'url': '/u/mannanmaan1425', 'rating': '4.9'}, {'url': '/u/burairhyder', 'rating': '3.9'}, {'url': '/u/AbhishekSingh08', 'rating': '4.5'}, {'url': '/u/workers9', 'rating': '5.0'}, {'url': '/u/shehzad7684', 'rating': '4.5'}, {'url': '/u/IMRANALI86', 'rating': '5.0'}, {'url': '/u/rimshanwar7', 'rating': '5.0'}]"
Applying PSO and LION optimization algorithm to my dataset,6 days left,https://www.freelancer.com/projects/python/applying-pso-lion-optimization-algorithm/,"I have a CSV dataset. I have to classify three binary classes AD, CN, and MCI. Also, I have to calculate Sensitivity, Specificity, Accuracy, and ROC curve.",Python, ₹600-1500 INR,['E-mail Verified'],1 freelancer is bidding on average ₹1100 for this job,[]
