,index,element,element_id
0,1,Copy Typing,2.0
1,1,Word,10.0
2,1,Article Writing,25.0
3,1,Copywriting,68.0
4,1,Data Entry,96.0
5,2,J2EE,7.0
6,2,Apache Maven,47.0
7,2,Software Architecture,61.0
8,2,Spring Boot,63.0
9,2,Java,95.0
10,3,Copy Typing,2.0
11,3,Word,10.0
12,3,PDF,23.0
13,3,Excel,42.0
14,3,Data Entry,96.0
15,4,German,8.0
16,4,Translation,69.0
17,4,English (UK) Translator,76.0
18,4,Proofreading,89.0
19,4,English (US) Translator,93.0
20,5,Copy Typing,2.0
21,5,Word,10.0
22,5,Excel,42.0
23,5,Data Processing,48.0
24,5,Data Entry,96.0
25,6,Electrical Engineering,15.0
26,6,Matlab and Mathematica,41.0
27,6,Engineering,70.0
28,6,Mathematics,75.0
29,7,Testing / QA,3.0
30,7,Software Testing,11.0
31,7,Usability Testing,57.0
32,7,Website Testing,83.0
33,8,Interior Design,1.0
34,8,3D Rendering,13.0
35,8,AutoCAD,31.0
36,8,Home Design,46.0
37,8,Building Architecture,72.0
38,9,Illustrator,27.0
39,9,Graphic Design,28.0
40,9,Logo Design,55.0
41,9,Photoshop,77.0
42,10,Technical Writing,4.0
43,11,C Programming,49.0
44,11,C# Programming,56.0
45,11,Software Architecture,61.0
46,11,Programming,73.0
47,11,Algorithm,74.0
48,11,C++ Programming,78.0
49,12,Internet Marketing,14.0
50,12,Bulk Marketing,18.0
51,12,Facebook Marketing,21.0
52,12,Financial Markets,82.0
53,12,Marketing,92.0
54,13,3D Rendering,13.0
55,13,3D Modelling,16.0
56,13,AutoCAD,31.0
57,13,Solidworks,33.0
58,13,3ds Max,50.0
59,14,Website Design,24.0
60,14,Graphic Design,28.0
61,14,HTML,40.0
62,14,Logo Design,55.0
63,14,Photoshop,77.0
64,15,Word,10.0
65,15,PDF,23.0
66,15,Editing,64.0
67,15,Powerpoint,81.0
68,15,Data Entry,96.0
69,16,Spanish,5.0
70,16,Spanish (Spain),51.0
71,16,Translation,69.0
72,16,English (UK) Translator,76.0
73,16,English (US) Translator,93.0
74,17,Copy Typing,2.0
75,17,Spanish,5.0
76,17,Spanish (Spain),51.0
77,17,Translation,69.0
78,17,English (UK) Translator,76.0
79,17,English (US) Translator,93.0
80,19,Machine Learning (ML),36.0
81,19,C Programming,49.0
82,19,Software Architecture,61.0
83,19,Python,71.0
84,19,Programming,73.0
85,19,Java,95.0
86,20,Word,10.0
87,20,Google Adwords,19.0
88,20,Website Design,24.0
89,20,SEO,32.0
90,20,HTML,40.0
91,20,WordPress,94.0
92,21,Editing,64.0
93,21,Photo Editing,65.0
94,21,Photoshop,77.0
95,21,Photography,85.0
96,21,Photoshop Design,88.0
97,21,Data Entry,96.0
98,22,Spanish,5.0
99,22,Audio Services,38.0
100,22,Spanish (Spain),51.0
101,22,Translation,69.0
102,22,English (US) Translator,93.0
103,23,Facebook Marketing,21.0
104,23,PHP,22.0
105,23,Amazon,53.0
106,23,Python,71.0
107,23,Programming,73.0
108,23,Marketing,92.0
109,24,Word,10.0
110,24,PDF,23.0
111,24,Excel,42.0
112,24,Editing,64.0
113,24,Data Entry,96.0
114,25,Word,10.0
115,25,PDF,23.0
116,25,Graphic Design,28.0
117,25,Photoshop,77.0
118,25,Data Entry,96.0
119,26,After Effects,17.0
120,26,Video Production,26.0
121,26,Video Editing,44.0
122,26,Video Services,52.0
123,26,Editing,64.0
124,27,Word,10.0
125,27,PDF,23.0
126,27,Excel,42.0
127,27,Data Processing,48.0
128,27,Data Entry,96.0
129,28,Article Writing,25.0
130,28,SEO,32.0
131,28,SEO Writing,60.0
132,28,Jewellery,62.0
133,28,Blog Writing,86.0
134,28,Content Writing,90.0
135,28,Blog,91.0
136,29,3D Modelling,16.0
137,29,AutoCAD,31.0
138,29,Software Architecture,61.0
139,29,Engineering,70.0
140,29,Building Architecture,72.0
141,30,Word,10.0
142,30,PHP,22.0
143,30,Website Design,24.0
144,30,HTML,40.0
145,30,CSS,79.0
146,30,WordPress,94.0
147,31,PHP,22.0
148,31,Chatbot,34.0
149,32,MySQL,9.0
150,32,Word,10.0
151,32,PHP,22.0
152,32,HTML,40.0
153,32,CSS,79.0
154,32,WordPress,94.0
155,33,SaaS Sales,12.0
156,33,Sales,43.0
157,33,Sales Promotion,58.0
158,34,Azure,29.0
159,34,Microsoft,35.0
160,34,Sharepoint,39.0
161,34,C# Programming,56.0
162,34,Programming,73.0
163,35,Microsoft Office,6.0
164,35,Microsoft,35.0
165,35,Microsoft Outlook,67.0
166,36,PHP,22.0
167,36,JavaScript,45.0
168,36,Web Scraping,54.0
169,36,Software Architecture,61.0
170,36,Python,71.0
171,36,Java,95.0
172,37,Copy Typing,2.0
173,37,Word,10.0
174,37,PDF,23.0
175,37,Excel,42.0
176,37,Data Entry,96.0
177,39,Website Design,24.0
178,39,Illustrator,27.0
179,39,Graphic Design,28.0
180,39,Logo Design,55.0
181,39,Photoshop,77.0
182,40,Spanish,5.0
183,40,German,8.0
184,40,Translation,69.0
185,40,Italian,80.0
186,40,English (US) Translator,93.0
187,41,Copy Typing,2.0
188,41,Word,10.0
189,41,PDF,23.0
190,41,Editing,64.0
191,41,Copywriting,68.0
192,43,MySQL,9.0
193,43,PHP,22.0
194,43,Web Hosting,59.0
195,43,Software Architecture,61.0
196,43,Website Testing,83.0
197,44,Word,10.0
198,44,PHP,22.0
199,44,Website Design,24.0
200,44,Graphic Design,28.0
201,44,HTML,40.0
202,44,WordPress,94.0
203,45,Website Design,24.0
204,45,Graphic Design,28.0
205,45,HTML,40.0
206,45,HTML5,66.0
207,45,Mobile App Development,84.0
208,45,jQuery / Prototype,87.0
209,46,Website Design,24.0
210,46,Bootstrap,30.0
211,46,HTML,40.0
212,46,HTML5,66.0
213,46,CSS,79.0
214,47,Copy Typing,2.0
215,47,Word,10.0
216,47,PDF,23.0
217,47,Excel,42.0
218,47,Data Entry,96.0
219,48,3D Design,20.0
220,48,Illustrator,27.0
221,48,Graphic Design,28.0
222,48,Photoshop,77.0
223,48,Photoshop Design,88.0
224,49,Word,10.0
225,49,PHP,22.0
226,49,Article Writing,25.0
227,49,Content Writing,90.0
228,49,Blog,91.0
229,49,WordPress,94.0
230,50,Virtual Worlds,37.0
